rank,anime,studios
41,Hajime no Ippo,Madhouse
0,Master Piece The Animation,T-Rex
658,Evangelion Movie 1: Jo,Khara
769,Hanamonogatari,Shaft
120,Slam Dunk,Toei Animation
554,Kidou Senshi Gundam 00 Second Season,Sunrise
267,86,A-1 Pictures
942,Yume-iro Pâtissière,Studio Hibari
266,Sasaki to Miyano Movie: Sotsugyou-hen,Studio Deen
502,Saiki Kusuo no ?-nan: ?-shidou-hen,J.C.Staff
502,Saiki Kusuo no ?-nan: ?-shidou-hen,Egg Firm
12,Ginga Eiyuu Densetsu,K-Factory
12,Ginga Eiyuu Densetsu,Kitty Film Mitaka Studio
258,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,CloverWorks
66,Mushishi Zoku Shou,Artland
663,Meitantei Conan Movie 15: Chinmoku no Quarter,TMS Entertainment
207,Chihayafuru 2,Madhouse
625,NieR:Automata Ver1.1a Part 2,A-1 Pictures
537,Ansatsu Kyoushitsu,Lerche
858,Macross F,Satelight
505,Diamond no Ace,Production I.G
505,Diamond no Ace,Madhouse
702,Ookiku Furikabutte: Natsu no Taikai-hen,A-1 Pictures
919,Carole & Tuesday,Bones
668,Kimi ni Todoke 2nd Season,Production I.G
185,Wu Liuqi: Xuanwu Guo Pian,Sharefun Studio
227,Gintama: Shiroyasha Koutan,Sunrise
419,Non Non Biyori Repeat,SILVER LINK.
611,5-toubun no Hanayome ?,Bibury Animation Studios
