rank,anime,voice_actor
135,Shoujo☆Kageki Revue Starlight Movie,"Iwata, Haruki"
133,Hotaru no Haka,"Tatsumi, Tsutomu"
133,Hotaru no Haka,"Shiraishi, Ayano"
129,Bakuman. 3rd Season,"Abe, Atsushi"
129,Bakuman. 3rd Season,"Hino, Satoshi"
137,Yuru Camp△ Season 2,"Toyosaki, Aki"
137,Yuru Camp△ Season 2,"Hanamori, Yumiri"
137,Yuru Camp△ Season 2,"Hara, Sayuri"
137,Yuru Camp△ Season 2,"Takahashi, Rie"
137,Yuru Camp△ Season 2,"Touyama, Nao"
135,Sora yori mo Tooi Basho,"Hanazawa, Kana"
135,Sora yori mo Tooi Basho,"Iguchi, Yuka"
135,Sora yori mo Tooi Basho,"Hayami, Saori"
135,Sora yori mo Tooi Basho,"Minase, Inori"
137,Kara no Kyoukai Movie 5: Mujun Rasen,"Honda, Takako"
137,Kara no Kyoukai Movie 5: Mujun Rasen,"Nakata, Jouji"
137,Kara no Kyoukai Movie 5: Mujun Rasen,"Kakihara, Tetsuya"
137,Kara no Kyoukai Movie 5: Mujun Rasen,"Igarashi, Hiromi"
137,Kara no Kyoukai Movie 5: Mujun Rasen,"Suzumura, Kenichi"
137,Kara no Kyoukai Movie 5: Mujun Rasen,"Sakamoto, Maaya"
138,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"Saka, Osamu"
138,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"Ootsuka, Akio"
138,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"Tanaka, Atsuko"
138,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"Yamadera, Kouichi"
139,Samurai Champloo,"Sato, Ginpei"
139,Samurai Champloo,"Kawasumi, Ayako"
139,Samurai Champloo,"Nakai, Kazuya"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Ono, Yuuki"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Taichi, You"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Kaji, Yuuki"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Morikawa, Toshiyuki"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Sakurai, Takahiro"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Ono, Daisuke"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Takagi, Wataru"
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Saitou, Konami"
141,Ousama Ranking,"Hinata, Minami"
141,Ousama Ranking,"Murase, Ayumu"
144,Yakusoku no Neverland,"Morohoshi, Sumire"
144,Yakusoku no Neverland,"Uchida, Maaya"
144,Yakusoku no Neverland,"Ise, Mariya"
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Saitou, Chiwa"
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Yuuki, Aoi"
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Katou, Emiri"
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Kitamura, Eri"
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Asumi, Kana"
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Nonaka, Ai"
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Mizuhashi, Kaori"
146,Mob Psycho 100,"Ootsuka, Akio"
146,Mob Psycho 100,"Irino, Miyu"
146,Mob Psycho 100,"Itou, Setsuo"
146,Mob Psycho 100,"Sakurai, Takahiro"
147,One Punch Man,"Ishikawa, Kaito"
147,One Punch Man,"Furukawa, Makoto"
143,Spy x Family,"Hayami, Saori"
143,Spy x Family,"Eguchi, Takuya"
143,Spy x Family,"Tanezaki, Atsumi"
148,Uchuu Kyoudai,"Hirata, Hiroaki"
148,Uchuu Kyoudai,"Sawashiro, Miyuki"
148,Uchuu Kyoudai,KENN
148,Uchuu Kyoudai,"Sanpei, Yuuko"
149,Ansatsu Kyoushitsu 2nd Season,"Okamoto, Nobuhiko"
149,Ansatsu Kyoushitsu 2nd Season,"Suzaki, Aya"
149,Ansatsu Kyoushitsu 2nd Season,"Fukuyama, Jun"
149,Ansatsu Kyoushitsu 2nd Season,"Fuchigami, Mai"
150,Aria the Origination,"Hirohashi, Ryou"
150,Aria the Origination,"Minagawa, Junko"
150,Aria the Origination,"Ohara, Sayaka"
150,Aria the Origination,"Kawakami, Tomoko"
150,Aria the Origination,"Saitou, Chiwa"
150,Aria the Origination,"Hazuki, Erino"
150,Aria the Origination,"Nishimura, Chinami"
152,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"Sugiyama, Noriaki"
152,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"Shitaya, Noriko"
152,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"Ueda, Kana"
151,Chainsaw Man,"Toya, Kikunosuke"
151,Chainsaw Man,"Inoue, Marina"
151,Chainsaw Man,"Sakata, Shougo"
151,Chainsaw Man,"Murase, Ayumu"
151,Chainsaw Man,"Kusunoki, Tomori"
151,Chainsaw Man,Fairouz Ai
154,Summertime Render,"Hanae, Natsuki"
154,Summertime Render,"Nagase, Anna"
153,Nichijou,"Honda, Mariko"
153,Nichijou,"Togashi, Misuzu"
153,Nichijou,"Aizawa, Mai"
153,Nichijou,"Shiraishi, Minoru"
153,Nichijou,"Furuya, Shizuka"
153,Nichijou,"Konno, Hiromi"
156,Banana Fish,"Uchida, Yuuma"
156,Banana Fish,"Nojima, Kenji"
162,Rainbow: Nisha Rokubou no Shichinin,"Park, Romi"
162,Rainbow: Nisha Rokubou no Shichinin,"Waki, Tomohiro"
162,Rainbow: Nisha Rokubou no Shichinin,"Oguri, Shun"
162,Rainbow: Nisha Rokubou no Shichinin,"Fujiwara, Keiji"
162,Rainbow: Nisha Rokubou no Shichinin,"Koyama, Rikiya"
162,Rainbow: Nisha Rokubou no Shichinin,"Kuroda, Takaya"
162,Rainbow: Nisha Rokubou no Shichinin,"Hasome, Tatsuya"
155,Yuu☆Yuu☆Hakusho,"Miyuki, Sanae"
155,Yuu☆Yuu☆Hakusho,"Hiyama, Nobuyuki"
155,Yuu☆Yuu☆Hakusho,"Ogata, Megumi"
155,Yuu☆Yuu☆Hakusho,"Nakahara, Shigeru"
155,Yuu☆Yuu☆Hakusho,"Chiba, Shigeru"
155,Yuu☆Yuu☆Hakusho,"Sasaki, Nozomu"
157,Chihayafuru 3,"Seto, Asami"
157,Chihayafuru 3,"Miyano, Mamoru"
157,Chihayafuru 3,"Hosoya, Yoshimasa"
157,Chihayafuru 3,"Terasaki, Yuka"
164,Owarimonogatari,"Kamiya, Hiroshi"
164,Owarimonogatari,"Sawashiro, Miyuki"
164,Owarimonogatari,"Inoue, Marina"
164,Owarimonogatari,"Sakamoto, Maaya"
164,Owarimonogatari,"Mizuhashi, Kaori"
165,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Imai, Asami"
165,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Miyano, Mamoru"
163,Kimetsu no Yaiba,"Shimono, Hiro"
163,Kimetsu no Yaiba,"Matsuoka, Yoshitsugu"
163,Kimetsu no Yaiba,"Kitou, Akari"
163,Kimetsu no Yaiba,"Hanae, Natsuki"
163,Kimetsu no Yaiba,"Satou, Satomi"
169,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,"Uchiyama, Yumi"
169,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,"Sugita, Tomokazu"
169,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,"Kayano, Ai"
166,Zoku Owarimonogatari,"Kamiya, Hiroshi"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Miyake, Kenta"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Koyasu, Takehito"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Fukuen, Misato"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Ishizuka, Unshou"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Hirakawa, Daisuke"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Ono, Daisuke"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Takamori, Natsumi"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Komatsu, Fuminori"
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"Fujimura, Ayumi"
170,Grand Blue,"Kimura, Ryouhei"
170,Grand Blue,"Uchida, Yuuma"
170,Grand Blue,"Anzai, Chika"
170,Grand Blue,"Asumi, Kana"
168,Karakai Jouzu no Takagi-san Movie,"Kaji, Yuuki"
168,Karakai Jouzu no Takagi-san Movie,"Takahashi, Rie"
171,Haikyuu!!,"Murase, Ayumu"
171,Haikyuu!!,"Ishikawa, Kaito"
176,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"Takahashi, Rie"
176,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"Kobayashi, Yuusuke"
172,Bungou Stray Dogs 4th Season,"Miyano, Mamoru"
172,Bungou Stray Dogs 4th Season,"Uemura, Yuuto"
174,Golden Kamuy 3rd Season,"Shiraishi, Haruka"
174,Golden Kamuy 3rd Season,"Itou, Kentarou"
174,Golden Kamuy 3rd Season,"Kobayashi, Chikahiro"
182,Natsume Yuujinchou Movie: Utsusemi ni Musubu,"Inoue, Kazuhiko"
182,Natsume Yuujinchou Movie: Utsusemi ni Musubu,"Kamiya, Hiroshi"
182,Natsume Yuujinchou Movie: Utsusemi ni Musubu,"Fujimura, Ayumi"
178,Kono Oto Tomare! Part 2,"Ishiya, Haruki"
178,Kono Oto Tomare! Part 2,"Tanezaki, Atsumi"
178,Kono Oto Tomare! Part 2,"Uchida, Yuuma"
178,Kono Oto Tomare! Part 2,"Enoki, Junya"
178,Kono Oto Tomare! Part 2,"Matsumoto, Sara"
178,Kono Oto Tomare! Part 2,"Iguchi, Yuuichi"
178,Kono Oto Tomare! Part 2,"Furukawa, Makoto"
178,Kono Oto Tomare! Part 2,"Namikawa, Daisuke"
186,Gintama: Yorinuki Gintama-san on Theater 2D,"Sugou, Takayuki"
186,Gintama: Yorinuki Gintama-san on Theater 2D,"Nakai, Kazuya"
186,Gintama: Yorinuki Gintama-san on Theater 2D,"Madono, Mitsuaki"
186,Gintama: Yorinuki Gintama-san on Theater 2D,"Kugimiya, Rie"
186,Gintama: Yorinuki Gintama-san on Theater 2D,"Sugita, Tomokazu"
186,Gintama: Yorinuki Gintama-san on Theater 2D,"Sakaguchi, Daisuke"
177,Jujutsu Kaisen 0 Movie,"Sakurai, Takahiro"
177,Jujutsu Kaisen 0 Movie,"Nakamura, Yuuichi"
177,Jujutsu Kaisen 0 Movie,"Uchiyama, Kouki"
177,Jujutsu Kaisen 0 Movie,"Ogata, Megumi"
177,Jujutsu Kaisen 0 Movie,"Seki, Tomokazu"
177,Jujutsu Kaisen 0 Movie,"Komatsu, Mikako"
181,Mononoke,"Sakurai, Takahiro"
180,Koukaku Kidoutai: Stand Alone Complex,"Saka, Osamu"
180,Koukaku Kidoutai: Stand Alone Complex,"Ootsuka, Akio"
180,Koukaku Kidoutai: Stand Alone Complex,"Tanaka, Atsuko"
180,Koukaku Kidoutai: Stand Alone Complex,"Yamadera, Kouichi"
183,Saenai Heroine no Sodatekata Fine,"Matsuoka, Yoshitsugu"
183,Saenai Heroine no Sodatekata Fine,"Kayano, Ai"
183,Saenai Heroine no Sodatekata Fine,"Yasuno, Kiyono"
183,Saenai Heroine no Sodatekata Fine,"Oonishi, Saori"
179,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"Amamiya, Sora"
179,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"Kayano, Ai"
179,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"Takahashi, Rie"
179,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"Fukushima, Jun"
187,Hunter x Hunter,"Takeuchi, Junko"
187,Hunter x Hunter,"Kaida, Yuki"
187,Hunter x Hunter,"Gouda, Hozumi"
187,Hunter x Hunter,"Mitsuhashi, Kanako"
188,Saiki Kusuo no Ψ-nan,"Hino, Satoshi"
188,Saiki Kusuo no Ψ-nan,"Shimazaki, Nobunaga"
188,Saiki Kusuo no Ψ-nan,"Hosoya, Yoshimasa"
188,Saiki Kusuo no Ψ-nan,"Ono, Daisuke"
188,Saiki Kusuo no Ψ-nan,"Kamiya, Hiroshi"
188,Saiki Kusuo no Ψ-nan,"Tanaka, Aimi"
188,Saiki Kusuo no Ψ-nan,"Tomatsu, Haruka"
188,Saiki Kusuo no Ψ-nan,"Kayano, Ai"
189,Saiki Kusuo no Ψ-nan 2,"Shimazaki, Nobunaga"
189,Saiki Kusuo no Ψ-nan 2,"Hosoya, Yoshimasa"
189,Saiki Kusuo no Ψ-nan 2,"Ono, Daisuke"
189,Saiki Kusuo no Ψ-nan 2,"Kamiya, Hiroshi"
189,Saiki Kusuo no Ψ-nan 2,"Tomatsu, Haruka"
189,Saiki Kusuo no Ψ-nan 2,"Tanaka, Aimi"
189,Saiki Kusuo no Ψ-nan 2,"Kayano, Ai"
191,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,"Yuuki, Aoi"
191,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,"Ishikawa, Yui"
191,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,"Kotobuki, Minako"
192,Yuru Camp△ Movie,"Toyosaki, Aki"
192,Yuru Camp△ Movie,"Hanamori, Yumiri"
192,Yuru Camp△ Movie,"Hara, Sayuri"
192,Yuru Camp△ Movie,"Takahashi, Rie"
192,Yuru Camp△ Movie,"Touyama, Nao"
193,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Kohara, Konomi"
193,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Suzuki, Ryouta"
193,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Koga, Aoi"
193,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Furukawa, Makoto"
201,Girls Band Cry,Mirei
201,Girls Band Cry,Natsu
201,Girls Band Cry,Rina
201,Girls Band Cry,Yuuri
201,Girls Band Cry,Shuri
199,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"Irino, Miyu"
199,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"Sakurai, Yuuki"
199,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"Iwami, Manaka"
202,Houseki no Kuni,"Kurosawa, Tomoyo"
197,Major S5,"Morikubo, Shoutarou"
197,Major S5,"Kumai, Motoko"
197,Major S5,"Morita, Masakazu"
197,Major S5,"Sasamoto, Yuuko"
203,Vivy: Fluorite Eye's Song,"Fukuyama, Jun"
203,Vivy: Fluorite Eye's Song,"Tanezaki, Atsumi"
200,Blue Giant,"Yamada, Yuuki"
200,Blue Giant,"Mamiya, Shoutarou"
200,Blue Giant,"Okayama, Amane"
196,Karakai Jouzu no Takagi-san 3,"Kaji, Yuuki"
196,Karakai Jouzu no Takagi-san 3,"Takahashi, Rie"
206,Made in Abyss Movie 2: Hourou Suru Tasogare,"Izawa, Shiori"
206,Made in Abyss Movie 2: Hourou Suru Tasogare,"Ise, Mariya"
206,Made in Abyss Movie 2: Hourou Suru Tasogare,"Tomita, Miyu"
205,Kaze ga Tsuyoku Fuiteiru,"Toyonaga, Toshiyuki"
205,Kaze ga Tsuyoku Fuiteiru,"Ootsuka, Takeo"
204,Josee to Tora to Sakana-tachi,"Kiyohara, Kaya"
204,Josee to Tora to Sakana-tachi,"Nakagawa, Taishi"
209,Fruits Basket: Prelude,"Hosoya, Yoshimasa"
209,Fruits Basket: Prelude,"Iwami, Manaka"
209,Fruits Basket: Prelude,"Sawashiro, Miyuki"
209,Fruits Basket: Prelude,"Uchida, Yuuma"
209,Fruits Basket: Prelude,"Tomari, Asuna"
207,Chihayafuru 2,"Seto, Asami"
207,Chihayafuru 2,"Miyano, Mamoru"
207,Chihayafuru 2,"Hosoya, Yoshimasa"
207,Chihayafuru 2,"Terasaki, Yuka"
208,Cowboy Bebop: Tengoku no Tobira,"Ishizuka, Unshou"
208,Cowboy Bebop: Tengoku no Tobira,"Kobayashi, Ai"
208,Cowboy Bebop: Tengoku no Tobira,"Yamadera, Kouichi"
208,Cowboy Bebop: Tengoku no Tobira,"Hayashibara, Megumi"
208,Cowboy Bebop: Tengoku no Tobira,"Isobe, Tsutomu"
208,Cowboy Bebop: Tengoku no Tobira,"Tada, Aoi"
215,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),"Suzumura, Kenichi"
215,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),"Sakamoto, Maaya"
215,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),"Hoshi, Souichirou"
213,Cross Game,"Irino, Miyu"
213,Cross Game,"Tomatsu, Haruka"
211,3-gatsu no Lion,"Kuno, Misaki"
211,3-gatsu no Lion,"Hanazawa, Kana"
211,3-gatsu no Lion,"Kayano, Ai"
211,3-gatsu no Lion,"Kawanishi, Kengo"
211,3-gatsu no Lion,"Uchiyama, Yumi"
218,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Saitou, Chiwa"
218,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Yuuki, Aoi"
218,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Katou, Emiri"
217,Mahou Shoujo Madoka★Magica,"Saitou, Chiwa"
217,Mahou Shoujo Madoka★Magica,"Yuuki, Aoi"
217,Mahou Shoujo Madoka★Magica,"Katou, Emiri"
217,Mahou Shoujo Madoka★Magica,"Kitamura, Eri"
217,Mahou Shoujo Madoka★Magica,"Nonaka, Ai"
217,Mahou Shoujo Madoka★Magica,"Mizuhashi, Kaori"
216,Kono Subarashii Sekai ni Shukufuku wo! 3,"Amamiya, Sora"
216,Kono Subarashii Sekai ni Shukufuku wo! 3,"Kayano, Ai"
216,Kono Subarashii Sekai ni Shukufuku wo! 3,"Takahashi, Rie"
216,Kono Subarashii Sekai ni Shukufuku wo! 3,"Fukushima, Jun"
214,Haikyuu!! To the Top,"Murase, Ayumu"
214,Haikyuu!! To the Top,"Ishikawa, Kaito"
212,Barakamon,"Ono, Daisuke"
212,Barakamon,"Hara, Suzuko"
223,One Piece: Gyojin Tou-hen,Cho
223,One Piece: Gyojin Tou-hen,"Yao, Kazuki"
223,One Piece: Gyojin Tou-hen,"Tanaka, Mayumi"
223,One Piece: Gyojin Tou-hen,"Okamura, Akemi"
223,One Piece: Gyojin Tou-hen,"Yamaguchi, Yuriko"
223,One Piece: Gyojin Tou-hen,"Nakai, Kazuya"
223,One Piece: Gyojin Tou-hen,"Hirata, Hiroaki"
223,One Piece: Gyojin Tou-hen,"Ootani, Ikue"
223,One Piece: Gyojin Tou-hen,"Yamaguchi, Kappei"
223,One Piece: Gyojin Tou-hen,Cho
223,One Piece: Gyojin Tou-hen,"Yao, Kazuki"
223,One Piece: Gyojin Tou-hen,"Tanaka, Mayumi"
223,One Piece: Gyojin Tou-hen,"Okamura, Akemi"
223,One Piece: Gyojin Tou-hen,"Yamaguchi, Yuriko"
223,One Piece: Gyojin Tou-hen,"Nakai, Kazuya"
223,One Piece: Gyojin Tou-hen,"Hirata, Hiroaki"
223,One Piece: Gyojin Tou-hen,"Ootani, Ikue"
223,One Piece: Gyojin Tou-hen,"Yamaguchi, Kappei"
225,Ao no Hako,"Kitou, Akari"
225,Ao no Hako,"Chiba, Shouya"
225,Ao no Hako,"Ueda, Reina"
220,Meitantei Conan Movie 26: Kurogane no Submarine,"Takayama, Minami"
220,Meitantei Conan Movie 26: Kurogane no Submarine,"Yamaguchi, Kappei"
220,Meitantei Conan Movie 26: Kurogane no Submarine,"Hayashibara, Megumi"
219,Kizumonogatari I: Tekketsu-hen,"Kamiya, Hiroshi"
219,Kizumonogatari I: Tekketsu-hen,"Horie, Yui"
219,Kizumonogatari I: Tekketsu-hen,"Sakamoto, Maaya"
222,Non Non Biyori Nonstop,"Murakawa, Rie"
222,Non Non Biyori Nonstop,"Asumi, Kana"
222,Non Non Biyori Nonstop,"Sakura, Ayane"
222,Non Non Biyori Nonstop,"Koiwai, Kotori"
221,Mushoku Tensei: Isekai Ittara Honki Dasu,"Uchiyama, Yumi"
221,Mushoku Tensei: Isekai Ittara Honki Dasu,"Sugita, Tomokazu"
221,Mushoku Tensei: Isekai Ittara Honki Dasu,"Kakuma, Ai"
221,Mushoku Tensei: Isekai Ittara Honki Dasu,"Kohara, Konomi"
221,Mushoku Tensei: Isekai Ittara Honki Dasu,"Kayano, Ai"
223,Tensei shitara Slime Datta Ken 2nd Season,"Okasaki, Miho"
230,K-On! Movie,"Hikasa, Youko"
230,K-On! Movie,"Toyosaki, Aki"
230,K-On! Movie,"Kotobuki, Minako"
230,K-On! Movie,"Taketatsu, Ayana"
230,K-On! Movie,"Satou, Satomi"
228,Girls & Panzer: Saishuushou Part 4,"Nakagami, Ikumi"
228,Girls & Panzer: Saishuushou Part 4,"Ozaki, Mami"
228,Girls & Panzer: Saishuushou Part 4,"Fuchigami, Mai"
228,Girls & Panzer: Saishuushou Part 4,"Iguchi, Yuka"
228,Girls & Panzer: Saishuushou Part 4,"Kayano, Ai"
236,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Eguchi, Takuya"
236,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Sakura, Ayane"
236,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Touyama, Nao"
236,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Hayami, Saori"
232,Kaze no Tani no Nausicaä,"Matsuda, Youji"
232,Kaze no Tani no Nausicaä,"Sakakibara, Yoshiko"
232,Kaze no Tani no Nausicaä,"Naya, Gorou"
232,Kaze no Tani no Nausicaä,"Shimamoto, Sumi"
226,Baccano!,"Miyamoto, Mitsuru"
226,Baccano!,"Onosaka, Masaya"
226,Baccano!,"Kobayashi, Sanae"
226,Baccano!,"Koyasu, Takehito"
226,Baccano!,"Aoki, Sayaka"
226,Baccano!,"Hirohashi, Ryou"
226,Baccano!,"Kanda, Akemi"
226,Baccano!,"Yoshino, Hiroyuki"
226,Baccano!,"Fujiwara, Keiji"
226,Baccano!,"Sakaguchi, Daisuke"
226,Baccano!,"Morita, Masakazu"
230,Initial D First Stage,"Miki, Shinichiro"
232,Kimetsu no Yaiba: Mugen Ressha-hen,"Shimono, Hiro"
232,Kimetsu no Yaiba: Mugen Ressha-hen,"Matsuoka, Yoshitsugu"
232,Kimetsu no Yaiba: Mugen Ressha-hen,"Hanae, Natsuki"
232,Kimetsu no Yaiba: Mugen Ressha-hen,"Kitou, Akari"
232,Kimetsu no Yaiba: Mugen Ressha-hen,"Hino, Satoshi"
232,Kimetsu no Yaiba: Mugen Ressha-hen,"Ise, Mariya"
234,Shinseiki Evangelion,"Hayashibara, Megumi"
234,Shinseiki Evangelion,"Ogata, Megumi"
234,Shinseiki Evangelion,"Mitsuishi, Kotono"
234,Shinseiki Evangelion,"Miyamura, Yuko"
241,Fumetsu no Anata e,"Kawashima, Reiji"
242,IDOLiSH7 Third Beat! Part 2,"Masuda, Toshiki"
242,IDOLiSH7 Third Beat! Part 2,"Yonaga, Tsubasa"
242,IDOLiSH7 Third Beat! Part 2,"Ono, Kensho"
242,IDOLiSH7 Third Beat! Part 2,"Shirai, Yuusuke"
242,IDOLiSH7 Third Beat! Part 2,"Abe, Atsushi"
242,IDOLiSH7 Third Beat! Part 2,"Eguchi, Takuya"
242,IDOLiSH7 Third Beat! Part 2,KENN
238,Versailles no Bara,"Ueda, Miyuki"
238,Versailles no Bara,"Tajima, Reiko"
238,Versailles no Bara,"Shigaki, Taro"
238,Versailles no Bara,"Yoshida, Rihoko"
238,Versailles no Bara,"Hori, Katsunosuke"
238,Versailles no Bara,"Nozawa, Nachi"
240,Bakuman. 2nd Season,"Abe, Atsushi"
240,Bakuman. 2nd Season,"Hino, Satoshi"
244,Dr. Stone: New World Part 2,"Kawanishi, Kengo"
244,Dr. Stone: New World Part 2,"Satou, Gen"
244,Dr. Stone: New World Part 2,"Kobayashi, Yuusuke"
244,Dr. Stone: New World Part 2,"Komatsu, Mikako"
244,Dr. Stone: New World Part 2,"Numakura, Manami"
244,Dr. Stone: New World Part 2,"Suzuki, Ryouta"
244,Dr. Stone: New World Part 2,"Ichinose, Kana"
244,Dr. Stone: New World Part 2,"Furukawa, Makoto"
252,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"Takahashi, Rie"
252,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"Kobayashi, Yuusuke"
245,Hibike! Euphonium 2,"Toyota, Moe"
245,Hibike! Euphonium 2,"Anzai, Chika"
245,Hibike! Euphonium 2,"Kurosawa, Tomoyo"
245,Hibike! Euphonium 2,"Kotobuki, Minako"
249,Kiseijuu: Sei no Kakuritsu,"Shimazaki, Nobunaga"
249,Kiseijuu: Sei no Kakuritsu,"Hirano, Aya"
252,Psycho-Pass,"Seki, Tomokazu"
252,Psycho-Pass,"Sakurai, Takahiro"
252,Psycho-Pass,"Hanazawa, Kana"
246,Usagi Drop,"Matsuura, Ayu"
246,Usagi Drop,"Tsuchida, Hiroshi"
258,Uma Musume: Pretty Derby - Shin Jidai no Tobira,"Fujimoto, Yuri"
254,Kage no Jitsuryokusha ni Naritakute! 2nd Season,"Yamashita, Seiichirou"
254,Kage no Jitsuryokusha ni Naritakute! 2nd Season,"Fukuyama, Jun"
256,Fate/stay night: Unlimited Blade Works 2nd Season,"Suwabe, Junichi"
256,Fate/stay night: Unlimited Blade Works 2nd Season,"Sugiyama, Noriaki"
256,Fate/stay night: Unlimited Blade Works 2nd Season,"Noda, Junko"
256,Fate/stay night: Unlimited Blade Works 2nd Season,"Kawasumi, Ayako"
256,Fate/stay night: Unlimited Blade Works 2nd Season,"Ueda, Kana"
254,One Outs,"Yamaguchi, Kappei"
254,One Outs,"Isobe, Tsutomu"
254,One Outs,"Hagiwara, Masato"
255,Bakemonogatari,"Kamiya, Hiroshi"
255,Bakemonogatari,"Katou, Emiri"
255,Bakemonogatari,"Horie, Yui"
255,Bakemonogatari,"Sawashiro, Miyuki"
255,Bakemonogatari,"Hanazawa, Kana"
255,Bakemonogatari,"Saitou, Chiwa"
259,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,"Ishikawa, Kaito"
259,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,"Seto, Asami"
261,Kaijuu 8-gou,"Fukunishi, Masaya"
261,Kaijuu 8-gou,"Han, Megumi"
261,Kaijuu 8-gou,"Kawanishi, Kengo"
261,Kaijuu 8-gou,"Katou, Wataru"
261,Kaijuu 8-gou,Fairouz Ai
270,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,"Miyano, Mamoru"
270,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,"Suzumura, Kenichi"
266,Sasaki to Miyano Movie: Sotsugyou-hen,"Saitou, Souma"
266,Sasaki to Miyano Movie: Sotsugyou-hen,"Shirai, Yuusuke"
262,Major S6,"Morikubo, Shoutarou"
265,Romeo no Aoi Sora,"Fujita, Toshiko"
265,Romeo no Aoi Sora,"Orikasa, Ai"
