source,target,type
34100,-667821544,undirected
34100,-10559693,undirected
34100,-485832651,undirected
41169,-1213130797,undirected
41169,84841313,undirected
41169,-1011544967,undirected
41169,-1328824829,undirected
41169,73435676,undirected
37999,369471873,undirected
37999,-385711991,undirected
37999,1800568137,undirected
37999,-1271727079,undirected
11771,1979609747,undirected
11771,822574794,undirected
25777,-1155129170,undirected
25777,98075180,undirected
25777,-2117075954,undirected
40906,605121934,undirected
40906,-2117075954,undirected
40906,-25089305,undirected
40906,-1286894040,undirected
40906,75717441,undirected
39783,1482206316,undirected
39783,-1871452346,undirected
39783,-640353766,undirected
39783,-726183131,undirected
39783,1556863819,undirected
39783,-996939427,undirected
39783,806766546,undirected
210,857020055,undirected
210,1963706696,undirected
210,1355584790,undirected
210,296862948,undirected
48569,453981100,undirected
48569,1532605082,undirected
5231,2037256733,undirected
5231,-214433871,undirected
5231,-503190453,undirected
38329,-1991091409,undirected
38329,1482206316,undirected
38329,851137066,undirected
57554,409474874,undirected
57554,1735354274,undirected
57554,1634260262,undirected
57554,1167734068,undirected
57554,-402688508,undirected
6024,296862948,undirected
6024,-1189900809,undirected
6024,1030820429,undirected
6024,-841991421,undirected
9724,-1187308571,undirected
9724,966667162,undirected
38000,-1292607799,undirected
38000,-996939427,undirected
38000,430506558,undirected
38000,1110055572,undirected
38000,1882535781,undirected
31988,-2043522415,undirected
31988,1958179729,undirected
31988,-817925082,undirected
31988,-1185647369,undirected
40907,1014204324,undirected
40907,-911763424,undirected
40907,-1305352783,undirected
40907,-2117075954,undirected
47778,-1292607799,undirected
47778,-996939427,undirected
47778,1110055572,undirected
47778,430506558,undirected
47778,-1948350991,undirected
53129,-1991091409,undirected
53129,828058068,undirected
53129,851137066,undirected
46654,-1784543568,undirected
46654,-1456025876,undirected
46654,822574794,undirected
46654,1813962555,undirected
46654,125594343,undirected
46654,174304068,undirected
46654,2303130,undirected
18115,-447861207,undirected
18115,-754135827,undirected
18115,-2117075954,undirected
18115,806766546,undirected
22145,1988301924,undirected
22145,800393984,undirected
48702,-125290934,undirected
48702,-73746960,undirected
48702,70287441,undirected
48702,640546987,undirected
14349,1383645770,undirected
14349,-1516424243,undirected
14349,640546987,undirected
14349,-1078728159,undirected
53393,1709655271,undirected
53393,767324304,undirected
31592,-2117075954,undirected
