source,target,type
1491,18,undirected
40814,309,undirected
29787,290,undirected
29787,314,undirected
40935,1109,undirected
54764,247,undirected
54112,2674,undirected
53747,1591,undirected
52955,2205,undirected
52305,1087,undirected
31733,18,undirected
19111,14,undirected
32870,10,undirected
80,14,undirected
3782,43,undirected
41674,7,undirected
6033,18,undirected
1824,11,undirected
5005,88,undirected
35678,2,undirected
30123,4,undirected
1254,18,undirected
39764,73,undirected
13203,73,undirected
30727,56,undirected
26,11,undirected
56768,37,undirected
54900,1835,undirected
53129,1835,undirected
41461,1857,undirected
7588,32,undirected
1887,2,undirected
21877,7,undirected
20815,37,undirected
1281,1,undirected
3750,37,undirected
1092,14,undirected
49776,91,undirected
49776,1314,undirected
1473,14,undirected
1279,1,undirected
42670,1893,undirected
35073,11,undirected
28999,132,undirected
54714,1722,undirected
19319,14,undirected
32869,10,undirected
19489,803,undirected
29829,333,undirected
38400,2,undirected
93,14,undirected
40429,18,undirected
40429,37,undirected
2508,38,undirected
8142,14,undirected
8142,473,undirected
29095,441,undirected
5630,10,undirected
5231,28,undirected
1571,7,undirected
39940,7,undirected
3603,77,undirected
47164,7,undirected
17895,7,undirected
530,18,undirected
35198,2,undirected
35198,929,undirected
41497,1835,undirected
39196,1258,undirected
32673,839,undirected
51552,290,undirected
37501,18,undirected
37924,866,undirected
37924,1690,undirected
28479,73,undirected
39014,2,undirected
39014,929,undirected
40906,18,undirected
8795,6,undirected
740,18,undirected
407,1,undirected
11001,10,undirected
11887,300,undirected
154,27,undirected
10090,10,undirected
1379,179,undirected
1818,11,undirected
25015,2,undirected
38145,1379,undirected
15809,314,undirected
7724,39,undirected
4080,37,undirected
43691,1295,undirected
23249,27,undirected
18153,2,undirected
1462,11,undirected
1462,13,undirected
709,11,undirected
709,94,undirected
597,21,undirected
534,154,undirected
531,18,undirected
479,37,undirected
353,18,undirected
50273,2037,undirected
50586,1857,undirected
50586,2725,undirected
51995,2,undirected
37442,10,undirected
10357,88,undirected
10218,13,undirected
31637,56,undirected
8311,1129,undirected
9074,44,undirected
6024,11,undirected
1562,22,undirected
41780,537,undirected
43523,605,undirected
38671,287,undirected
2753,68,undirected
8687,247,undirected
24893,1023,undirected
317,1847,undirected
1293,1,undirected
1293,37,undirected
12117,73,undirected
38619,911,undirected
5074,56,undirected
14741,2,undirected
8514,10,undirected
8514,27,undirected
42847,7,undirected
1211,110,undirected
49283,218,undirected
516,14,undirected
22777,18,undirected
1375,22,undirected
21339,10,undirected
40620,478,undirected
57993,911,undirected
57993,1813,undirected
51536,1893,undirected
36094,456,undirected
19703,18,undirected
33899,1103,undirected
34428,11,undirected
39619,537,undirected
